0,1,2,3
89.0,91.0,0.22271380922077158,2.0
20.0,99.0,0.3598301154993754,2.0
25.0,38.0,0.3679645023454515,2.0
60.0,61.0,0.38241975133629685,2.0
59.0,116.0,0.39853180469456717,2.0
6.0,134.0,0.41905660740300466,2.0
66.0,142.0,0.4256658493654669,2.0
100.0,139.0,0.4256907025213022,2.0
88.0,181.0,0.45187806480278825,3.0
39.0,179.0,0.4594229204756015,3.0
166.0,173.0,0.4663760793907427,2.0
46.0,145.0,0.4665766706088555,2.0
57.0,135.0,0.4781500351885635,2.0
107.0,146.0,0.4838999629695616,2.0
149.0,176.0,0.4890927325328173,3.0
78.0,172.0,0.49118515031185234,2.0
97.0,150.0,0.49712641156385795,2.0
47.0,73.0,0.5058173681141535,2.0
55.0,126.0,0.5145335630093139,2.0
101.0,133.0,0.522494701724957,2.0
64.0,79.0,0.5357743867009549,2.0
9.0,63.0,0.5434589905552044,2.0
23.0,177.0,0.5518476087874971,3.0
143.0,152.0,0.5567906498591632,2.0
49.0,110.0,0.5893866543464235,2.0
51.0,148.0,0.5977578258633427,2.0
22.0,40.0,0.5994452186668217,2.0
18.0,65.0,0.5995415242219444,2.0
27.0,158.0,0.622416179874538,2.0
82.0,108.0,0.6326855988542591,2.0
123.0,201.0,0.6336141763068893,3.0
2.0,24.0,0.6409335109371398,2.0
37.0,188.0,0.6429470848808873,4.0
113.0,117.0,0.6475118864949536,2.0
85.0,141.0,0.6767113084142511,2.0
103.0,175.0,0.6784700068927291,3.0
42.0,155.0,0.6865313052486108,2.0
83.0,86.0,0.6935414960113185,2.0
48.0,197.0,0.6962087508180292,3.0
104.0,194.0,0.6979034402291496,3.0
136.0,186.0,0.6992941138160221,3.0
121.0,132.0,0.7090476960166502,2.0
167.0,178.0,0.7107640457063841,3.0
1.0,44.0,0.723658690740397,2.0
174.0,193.0,0.725270842684641,4.0
93.0,151.0,0.7444326860393414,2.0
28.0,189.0,0.7499140450363044,3.0
17.0,56.0,0.7786090851344435,2.0
12.0,36.0,0.7831743559804478,2.0
11.0,29.0,0.7894924762415565,2.0
30.0,183.0,0.810141362864318,4.0
58.0,200.0,0.8161530801131466,3.0
3.0,168.0,0.8256888014911544,2.0
182.0,205.0,0.8395019392616426,5.0
144.0,220.0,0.8512533694406483,4.0
14.0,102.0,0.8590980026950252,2.0
10.0,109.0,0.8623087292869291,2.0
95.0,217.0,0.8692678316972322,3.0
26.0,131.0,0.8713285061899702,2.0
192.0,206.0,0.8827331946229989,6.0
5.0,112.0,0.887818267671781,2.0
50.0,140.0,0.8891309654517525,2.0
0.0,165.0,0.9199972722756394,2.0
122.0,180.0,0.9211315774050072,3.0
71.0,187.0,0.923217501501877,3.0
119.0,226.0,0.927098301560309,3.0
35.0,212.0,0.9334614652444936,4.0
4.0,118.0,0.936427722908524,2.0
41.0,45.0,0.947791946281821,2.0
16.0,223.0,0.9635320562891487,3.0
